comparison_type,segmentation_a,model_a,segmentation_b,model_b,delta_definition,delta_accuracy,delta_accuracy_ci_lower,delta_accuracy_ci_upper,delta_f1,delta_f1_ci_lower,delta_f1_ci_upper,delta_balanced_accuracy,delta_balanced_accuracy_ci_lower,delta_balanced_accuracy_ci_upper,f1_interpretation
model_comparison_fixed_segmentation,tip_middle_root_1_2_2,SVM,tip_middle_root_1_2_2,Random Forest,A_minus_B,-0.02342740564433876,-0.07792206815196975,0.03127909118163512,-0.0019073951523055355,-0.07072923624441747,0.07084788004297965,-0.015260270774976603,-0.06740655956912646,0.04054151490845594,CI_crosses_zero
model_comparison_fixed_segmentation,tip_middle_root_1_2_2,SVM,tip_middle_root_1_2_2,CNN,A_minus_B,-0.008007480448827042,-0.1003536937400401,0.08700416971724285,-0.017675578518700275,-0.1300735810935777,0.0941820854386744,-0.011898092570361452,-0.09698206095161037,0.07238852559213216,CI_crosses_zero
model_comparison_fixed_segmentation,tip_middle_root_1_2_2,Random Forest,tip_middle_root_1_2_2,CNN,A_minus_B,0.015419925195511719,-0.08829948204198033,0.11778369210240473,-0.01576818336639474,-0.14050738702858168,0.11503389875734517,0.0033621782046151516,-0.08839867291796878,0.09899202796047346,CI_crosses_zero
model_comparison_fixed_segmentation,tip_middle_root_1_3_1,SVM,tip_middle_root_1_3_1,Random Forest,A_minus_B,-0.03199591975518523,-0.07760167081252828,0.015175844161314492,-0.00011655011655009595,-0.06609545874908121,0.07038615515844601,-0.020594904628518096,-0.06828399608266533,0.02818618259996846,CI_crosses_zero
model_comparison_fixed_segmentation,tip_middle_root_1_3_1,SVM,tip_middle_root_1_3_1,CNN,A_minus_B,0.023682420945256855,-0.07809648056930424,0.12297814590224035,0.13533073712714438,0.006574742522133478,0.2528180364843548,0.04354741896758707,-0.04105726846382561,0.12439076526639725,A_higher
model_comparison_fixed_segmentation,tip_middle_root_1_3_1,Random Forest,tip_middle_root_1_3_1,CNN,A_minus_B,0.055678340700442086,-0.045240567026228105,0.15564366846214947,0.13544728724369448,0.0006672834279177434,0.2671802294138374,0.06414232359610517,-0.0175222354641966,0.14428329499166687,A_higher
segmentation_comparison_fixed_model,tip_middle_root_1_3_1,SVM,tip_middle_root_1_2_2,SVM,A_minus_B,0.017341040462427904,-0.01034572087250867,0.045847017955661165,0.007033582663834803,-0.024778355117254576,0.04035159191180267,0.013738828864879205,-0.013224167299136952,0.041776723791470176,CI_crosses_zero
segmentation_comparison_fixed_model,tip_middle_root_1_3_1,Random Forest,tip_middle_root_1_2_2,Random Forest,A_minus_B,0.025909554573274374,-0.005980339162603104,0.05947016969696662,0.005242737628079364,-0.037615013404487585,0.04892082116125835,0.019073462718420697,-0.012359125462409167,0.05301071573992098,CI_crosses_zero
segmentation_comparison_fixed_model,tip_middle_root_1_3_1,CNN,tip_middle_root_1_2_2,CNN,A_minus_B,-0.014348860931655993,-0.07010131729511773,0.03978149551066204,-0.14597273298200986,-0.21357262938976446,-0.06912717916922853,-0.04170668267306932,-0.08969335781209795,0.005812423683510231,B_higher
