model,n_colors,macro_accuracy_1_2_2,macro_accuracy_1_3_1,macro_delta_accuracy,macro_f1_1_2_2,macro_f1_1_3_1,macro_delta_f1,macro_balanced_accuracy_1_2_2,macro_balanced_accuracy_1_3_1,macro_delta_balanced_accuracy,f1_wins_1_2_2,f1_wins_1_3_1,f1_ties
SVM,5,0.7355854087163649,0.753049233475539,0.017463824759174008,0.4195391241164785,0.4364253583608422,0.016886234244363706,0.6735295238095469,0.6895466528146604,0.016017129005113474,2,3,0
Random Forest,5,0.7960539928193947,0.7928857959980211,-0.0031681968213736144,0.36658317131304574,0.32196857300103743,-0.04461459831200834,0.6159004294233152,0.5952020887300846,-0.020698340693230677,3,2,0
CNN,5,0.6754854448190144,0.6657289981351047,-0.00975644668390958,0.295755480328021,0.25547524634825575,-0.04028023397976523,0.5648218632439572,0.5392073881061481,-0.025614475137809067,5,0,0
