color,positive,negative,uncertain,usable,positive_rate,uncertain_rate,data_status,full_n_items,full_unanimous_rate,full_three_one_rate,full_two_two_rate,full_fleiss_kappa,subset_n_items,subset_unanimous_n,subset_unanimous_rate,subset_three_one_n,subset_three_one_rate,subset_two_two_n,subset_two_two_rate,subset_fleiss_kappa,best_segmentation_method,best_model,best_accuracy,best_precision,best_recall,best_f1,best_balanced_accuracy
淡紅,98,300,102,398,0.24623115577889448,0.204,evaluable,500,0.45,0.346,0.204,0.2858059125562946,500,225,0.45,173,0.346,102,0.204,0.2858059125562946,tip_middle_root_1_3_1,SVM,0.7437185929648241,0.4838709677419355,0.6122448979591837,0.5405405405405406,0.6994557823129252
淡白,17,455,28,472,0.036016949152542374,0.056,sparse,500,0.814,0.13,0.056,0.3008083975872191,500,407,0.814,65,0.13,28,0.056,0.3008083975872191,tip_middle_root_1_3_1,SVM,0.885593220338983,0.1967213114754098,0.7058823529411765,0.3076923076923077,0.7990950226244344
鮮紅,104,244,152,348,0.2988505747126437,0.304,evaluable,500,0.356,0.34,0.304,0.2032644777106469,500,178,0.356,170,0.34,152,0.304,0.2032644777106469,tip_middle_root_1_2_2,Random Forest,0.7988505747126436,0.6491228070175439,0.7115384615384616,0.6788990825688074,0.7738020176544766
暗紅,95,299,106,394,0.24111675126903553,0.212,evaluable,500,0.306,0.482,0.212,0.1360469894024523,500,153,0.306,241,0.482,106,0.212,0.13604698940245236,tip_middle_root_1_3_1,SVM,0.6116751269035533,0.304054054054054,0.4736842105263157,0.3703703703703703,0.5646013025875726
青紫,48,350,102,398,0.12060301507537688,0.204,evaluable,500,0.448,0.348,0.204,0.1620489255304769,500,224,0.448,174,0.348,102,0.204,0.16204892553047695,tip_middle_root_1_2_2,SVM,0.7386934673366834,0.2407407407407407,0.5416666666666666,0.3333333333333333,0.6536904761904762
灰黑,0,500,0,500,0.0,0.0,not_evaluable_no_positive,500,0.978,0.022,0.0,-0.0055304172951351,500,489,0.978,11,0.022,0,0.0,-0.005530417295135112,,,,,,,
