segmentation_method,model,n_colors,macro_accuracy,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy
tip_middle_root_1_2_2,CNN,2,0.6091975518531112,0.5215866162978953,0.5874183006535948,0.5362830214958911,0.6013622115512872
tip_middle_root_1_3_1,CNN,2,0.5948486909214552,0.4631578947368421,0.40604575163398693,0.3903102885138813,0.5596555288782179
