model_a,model_b,delta_mean_f1,delta_mean_f1_ci_lower,delta_mean_f1_ci_upper,delta_mean_balanced_accuracy,delta_mean_balanced_accuracy_ci_lower,delta_mean_balanced_accuracy_ci_upper,f1_interpretation
SVM,Random Forest,-0.0010119726344278712,-0.06462078114493103,0.06803320319273704,-0.017927587701747405,-0.06558762128046133,0.031464617046513564,CI_crosses_zero
SVM,CNN,0.058827579304222055,-0.05810680891771034,0.1709864527716052,0.015824663198612865,-0.0684096218430328,0.09562025832318988,CI_crosses_zero
Random Forest,CNN,0.059839551938649926,-0.0636887449552911,0.18390865123496544,0.03375225090036027,-0.045174482695986146,0.11614464645032113,CI_crosses_zero
