region,n_model_combinations,mean_macro_f1,std_macro_f1,mean_micro_f1,std_micro_f1,macro_rank_1_count,micro_rank_1_count,mean_macro_rank,mean_micro_rank
舌右邊,6,0.3844551040433834,0.09119672895807968,0.4635247235654383,0.052557865762088415,3,4,1.6666666666666667,1.3333333333333333
舌左邊,6,0.38199847793056835,0.07196744967582575,0.43048609835759327,0.055892010100735454,3,0,1.6666666666666667,3.0
舌尖,6,0.34744684264503234,0.09826656979245538,0.4474868597070684,0.03096059894116682,0,2,3.1666666666666665,2.1666666666666665
舌中,6,0.33816732187183723,0.08038060051520474,0.37004524741700767,0.11144199610999432,0,0,3.5,3.8333333333333335
舌根,6,0.22067023404419803,0.04285179338030663,0.28962389533100746,0.05913043674667575,0,0,5.0,4.666666666666667
