model,mean_f1,mean_f1_ci_lower,mean_f1_ci_upper,mean_balanced_accuracy,mean_balanced_accuracy_ci_lower,mean_balanced_accuracy_ci_upper,rank_by_mean_f1
Random Forest,0.5231362069435361,0.4106423744120885,0.625739853183052,0.6142611211151128,0.5414064514074758,0.6890784916141961,1
SVM,0.5221242343091083,0.41411991273193866,0.6218123523233304,0.5963335334133654,0.5204281079673279,0.6664816243132504,2
CNN,0.4632966550048862,0.38750833264808804,0.5348923156033556,0.5805088702147525,0.5364199003788682,0.6201193068573235,3
