region,n_model_combinations,mean_macro_f1,std_macro_f1,mean_micro_f1,std_micro_f1,macro_rank_1_count,micro_rank_1_count,mean_macro_rank,mean_micro_rank,common_colors,n_items,unanimous_rate,three_one_rate,two_two_rate,fleiss_kappa
舌右邊,6,0.3844551040433834,0.09119672895807968,0.4635247235654383,0.052557865762088415,3,4,1.6666666666666667,1.3333333333333333,"淡紅,淡白,鮮紅,暗紅,青紫",500,0.474,0.328,0.198,0.2706161814785794
舌左邊,6,0.38199847793056835,0.07196744967582575,0.43048609835759327,0.055892010100735454,3,0,1.6666666666666667,3.0,"淡紅,淡白,鮮紅,暗紅,青紫",500,0.468,0.344,0.188,0.26575659995917233
舌尖,6,0.34744684264503234,0.09826656979245538,0.4474868597070684,0.03096059894116682,0,2,3.1666666666666665,2.1666666666666665,"淡紅,淡白,鮮紅,暗紅,青紫",500,0.462,0.344,0.194,0.25100708063439026
舌中,6,0.33816732187183723,0.08038060051520474,0.37004524741700767,0.11144199610999432,0,0,3.5,3.8333333333333335,"淡紅,淡白,鮮紅,暗紅,青紫",500,0.446,0.342,0.212,0.2067513334747128
舌根,6,0.22067023404419803,0.04285179338030663,0.28962389533100746,0.05913043674667575,0,0,5.0,4.666666666666667,"淡紅,淡白,鮮紅,暗紅,青紫",500,0.524,0.288,0.188,0.2419082146000225
