segmentation_method,model,accuracy,precision,recall,f1,balanced_accuracy,rank_by_f1
tip_middle_root_1_3_1,SVM,0.753049233475539,0.3725583105076228,0.589131523054566,0.4364253583608423,0.6895466528146603,1
tip_middle_root_1_2_2,SVM,0.7355854087163649,0.3512863401035444,0.5790844353935907,0.4195391241164786,0.6735295238095469,2
tip_middle_root_1_2_2,Random Forest,0.7960539928193947,0.3754085749132189,0.3613531525970712,0.3665831713130457,0.6159004294233152,3
tip_middle_root_1_3_1,Random Forest,0.7928857959980211,0.3256345210504884,0.3186227932468534,0.3219685730010374,0.5952020887300846,4
tip_middle_root_1_2_2,CNN,0.6754854448190144,0.23694345326988606,0.4329581103696539,0.295755480328021,0.5648218632439572,5
tip_middle_root_1_3_1,CNN,0.6657289981351048,0.21833139561634374,0.36349419524894977,0.25547524634825575,0.5392073881061481,6
