segmentation_method,model,n_patients,n_colors,n_predictions,bootstrap_iterations_requested,bootstrap_iterations_valid,accuracy,accuracy_ci_lower,accuracy_ci_upper,precision,precision_ci_lower,precision_ci_upper,recall,recall_ci_lower,recall_ci_upper,f1,f1_ci_lower,f1_ci_upper,balanced_accuracy,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,rank_by_f1
tip_middle_root_1_3_1,SVM,100,5,2010,2000,1988,0.753049233475539,0.7221765515849092,0.7819801309292661,0.3725583105076228,0.3198192174973236,0.4241445408903799,0.589131523054566,0.5208179953077445,0.6689816139134964,0.4364253583608422,0.37297377890055433,0.4883599105609756,0.6895466528146604,0.6482484042871904,0.7344235226741677,1
tip_middle_root_1_2_2,SVM,100,5,2010,2000,1988,0.7355854087163649,0.7031257791739298,0.7668081999347485,0.3512863401035444,0.2974181417936566,0.40361459684068446,0.5790844353935907,0.5040467146415331,0.6588709579206042,0.4195391241164785,0.35478204023911736,0.47274228270625995,0.6735295238095469,0.6309071868298373,0.7193819711032449,2
tip_middle_root_1_2_2,Random Forest,100,5,2010,2000,1988,0.7960539928193947,0.7663014274408017,0.8237814905965821,0.3754085749132189,0.29408746113816253,0.46812982174489426,0.36135315259707124,0.2931979172084653,0.43305365031599485,0.36658317131304574,0.2937920587011175,0.4300800278224389,0.6159004294233152,0.5765187025431707,0.6552527967885537,3
tip_middle_root_1_3_1,Random Forest,100,5,2010,2000,1988,0.7928857959980211,0.7640831046066611,0.8181310276603524,0.3256345210504884,0.26756799717042584,0.3846464390185196,0.3186227932468534,0.26360384480475035,0.37658461981324604,0.32196857300103743,0.26632011062197997,0.3725758324081338,0.5952020887300846,0.5628517624193246,0.6295125521915902,4
tip_middle_root_1_2_2,CNN,100,5,2010,2000,1988,0.6754854448190144,0.645914710048674,0.7054284271358333,0.23694345326988606,0.20293961181130468,0.2701436853667668,0.43295811036965387,0.36749945880054763,0.48935789243265243,0.295755480328021,0.2582222493683766,0.3262579013128346,0.5648218632439572,0.5272956489989962,0.5978974618667091,5
tip_middle_root_1_3_1,CNN,100,5,2010,2000,1988,0.6657289981351047,0.6388928111350627,0.6924347888813465,0.21833139561634374,0.18656264605585218,0.2525852963384209,0.36349419524894977,0.28947543814220106,0.41976383575542864,0.25547524634825575,0.2217948787903814,0.2882512466578925,0.5392073881061481,0.5006367446659535,0.5706179482677414,6
