segmentation_method,model,accuracy,accuracy_ci_lower,accuracy_ci_upper,f1,f1_ci_lower,f1_ci_upper,balanced_accuracy,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,rank_by_f1
tip_middle_root_1_2_2,CNN,0.6091975518531112,0.54571365019464,0.6715050722238275,0.5362830214958911,0.4499046165665479,0.6201436505761904,0.6013622115512872,0.5433200250729837,0.6539990106808572,1
tip_middle_root_1_3_1,Random Forest,0.6505270316218973,0.5747369953076304,0.7248540213977098,0.5257575757575758,0.41153909229203484,0.6263535075674274,0.6237978524743231,0.5539014983993925,0.6949694837117946,2
tip_middle_root_1_3_1,SVM,0.6185311118667121,0.5423148441250483,0.6895206873633827,0.5256410256410257,0.4185177404295051,0.6237321916903287,0.603202947845805,0.5297734184175958,0.6744640866470422,3
tip_middle_root_1_2_2,Random Forest,0.6246174770486229,0.5442113122964631,0.7031574830359387,0.5205148381294964,0.4008973399533045,0.6259558716926422,0.6047243897559024,0.5247408350322386,0.6832096073625037,4
tip_middle_root_1_2_2,SVM,0.6011900714042842,0.5223595527910044,0.6707656768924408,0.5186074429771909,0.4083601161804119,0.6195425254236772,0.5894641189809258,0.5113680090004138,0.6630791209524737,5
tip_middle_root_1_3_1,CNN,0.5948486909214552,0.5269749953487209,0.6600039753436733,0.3903102885138813,0.30817726133515605,0.4649138501752103,0.5596555288782179,0.5179326876181222,0.5985466699990272,6
