segmentation_method,model,cnn_architecture,color,fold,train_samples,test_samples,train_patients,test_patients,accuracy,precision,recall,f1,balanced_accuracy
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,暗紅,4,316,78,77,21,0.7051282051282052,0.35714285714285715,0.2631578947368421,0.30303030303030304,0.555307760927743
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,暗紅,5,314,80,80,18,0.6,0.2903225806451613,0.47368421052631576,0.36,0.5565142364106989
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,1,316,78,79,19,0.6025641025641025,0.21739130434782608,0.2777777777777778,0.24390243902439024,0.4888888888888889
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,2,314,80,77,21,0.6875,0.3333333333333333,0.25,0.2857142857142857,0.5416666666666667
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,3,316,78,79,19,0.5897435897435898,0.19047619047619047,0.21052631578947367,0.2,0.46119536128456734
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,4,316,78,77,21,0.6153846153846154,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.47814451382694023
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,5,314,80,80,18,0.575,0.2222222222222222,0.3157894736842105,0.2608695652173913,0.4857635893011216
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,1,318,80,79,21,0.8625,0.0,0.0,0.0,0.4859154929577465
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,2,313,85,81,19,0.7647058823529411,0.08333333333333333,0.1,0.09090909090909091,0.4766666666666667
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,3,322,76,80,20,0.8157894736842105,0.25,0.2,0.2222222222222222,0.5545454545454546
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,4,320,78,80,20,0.8589743589743589,0.0,0.0,0.0,0.4855072463768116
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,5,319,79,80,20,0.7341772151898734,0.13333333333333333,0.2,0.16,0.5057971014492754
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,1,318,80,79,21,0.825,0.14285714285714285,0.1111111111111111,0.125,0.513302034428795
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,2,313,85,81,19,0.8470588235294118,0.2,0.1,0.13333333333333333,0.5233333333333333
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,3,322,76,80,20,0.75,0.15384615384615385,0.2,0.17391304347826086,0.5166666666666667
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,4,320,78,80,20,0.8205128205128205,0.0,0.0,0.0,0.463768115942029
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,5,319,79,80,20,0.7468354430379747,0.08333333333333333,0.1,0.09090909090909091,0.47028985507246374
