segmentation_method,model_a,model_b,delta_definition,n_patients,n_predictions,bootstrap_iterations_requested,bootstrap_iterations_valid,delta_accuracy,delta_accuracy_ci_lower,delta_accuracy_ci_upper,delta_f1,delta_f1_ci_lower,delta_f1_ci_upper,delta_balanced_accuracy,delta_balanced_accuracy_ci_lower,delta_balanced_accuracy_ci_upper,f1_bootstrap_interpretation
tip_middle_root_1_2_2,SVM,Random Forest,model_a_minus_model_b,100,2010,2000,1988,-0.0604685841030298,-0.08467954441629025,-0.03937308806942385,0.05295595280343274,0.001533221604401192,0.1046942013466262,0.05762909438623165,0.028819299345482965,0.09379442920820252,SVM_higher
tip_middle_root_1_2_2,SVM,CNN,model_a_minus_model_b,100,2010,2000,1988,0.060099963897350506,0.02367672615352375,0.09489688598242202,0.12378364378845746,0.0680318421009509,0.17255849035368254,0.10870766056558967,0.05998556581582226,0.15843534157732658,SVM_higher
tip_middle_root_1_2_2,Random Forest,CNN,model_a_minus_model_b,100,2010,2000,1988,0.1205685480003803,0.08666144753142974,0.15219967378945354,0.07082769098502473,0.004425397340637078,0.1297592960035798,0.05107856617935802,0.011204243544465585,0.08825808960563768,Random Forest_higher
tip_middle_root_1_3_1,SVM,Random Forest,model_a_minus_model_b,100,2010,2000,1988,-0.03983656252248213,-0.06156296343521144,-0.019217547196432202,0.11445678535980475,0.05956962470922231,0.1634200076310053,0.09434456408457581,0.06566355539468612,0.12674660427412499,SVM_higher
tip_middle_root_1_3_1,SVM,CNN,model_a_minus_model_b,100,2010,2000,1988,0.08732023534043432,0.048907164468879175,0.12280529251665953,0.18095011201258643,0.12142137986098124,0.23681580101489386,0.15033926470851233,0.10145004499227374,0.20899660476310877,SVM_higher
tip_middle_root_1_3_1,Random Forest,CNN,model_a_minus_model_b,100,2010,2000,1988,0.12715679786291645,0.09568674363258223,0.1565438053304745,0.06649332665278168,0.0072611374344052505,0.12652514088255892,0.05599470062393652,0.012832119462133812,0.10536398183562136,Random Forest_higher
