segmentation_method,model,n_colors,macro_accuracy,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy,rank_by_macro_f1
tip_middle_root_1_2_2,CNN,2,0.6091975518531112,0.5215866162978953,0.5874183006535948,0.5362830214958911,0.6013622115512872,1
tip_middle_root_1_3_1,Random Forest,2,0.6505270316218973,0.6041666666666667,0.4714052287581699,0.5257575757575758,0.6237978524743231,2
tip_middle_root_1_3_1,SVM,2,0.6185311118667121,0.5433333333333333,0.5138888888888888,0.5256410256410257,0.603202947845805,3
tip_middle_root_1_2_2,Random Forest,2,0.6246174770486229,0.5594818913480886,0.49142156862745096,0.5205148381294964,0.6047243897559024,4
tip_middle_root_1_2_2,SVM,2,0.6011900714042842,0.5213607594936709,0.5204248366013072,0.5186074429771909,0.5894641189809258,5
tip_middle_root_1_3_1,CNN,2,0.5948486909214552,0.4631578947368421,0.40604575163398693,0.3903102885138813,0.5596555288782179,6
