segmentation_method,model,n_colors,macro_accuracy,macro_precision,macro_recall,macro_f1,macro_balanced_accuracy,rank_by_macro_f1
tip_middle_root_1_2_2,SVM,4,0.6385069925867703,0.46848089125578685,0.3671891624867001,0.3908435181660068,0.5680206241689459,1
tip_middle_root_1_3_1,Random Forest,4,0.6766669116234159,0.5272671568627452,0.31273749810001517,0.37510789004597056,0.5850155496094225,2
tip_middle_root_1_3_1,SVM,4,0.646378638396274,0.4871644042232277,0.34604328165374676,0.37249837249837253,0.5698569589695373,3
tip_middle_root_1_2_2,Random Forest,4,0.6586029150874821,0.4339076123407109,0.3048677610579115,0.34069220167344383,0.5676472311556773,4
