color,analysis_type,segmentation_method,model,fold,train_patients,test_patients,train_items,train_positive,train_negative,test_items,test_positive,test_negative,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
鮮紅,primary,tip_middle_root_1_3_1,SVM,3,70,16,137,25,112,29,13,16,0.8275862068965517,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8293269230769231,13,3,2,11
鮮紅,primary,tip_middle_root_1_3_1,Random Forest,3,70,16,137,25,112,29,13,16,0.7931034482758621,0.8181818181818182,0.6923076923076923,0.75,0.7836538461538461,14,2,4,9
鮮紅,primary,tip_middle_root_1_3_1,SVM,4,68,18,147,26,121,38,15,23,0.5526315789473685,0.4,0.26666666666666666,0.32,0.5028985507246376,17,6,11,4
鮮紅,primary,tip_middle_root_1_3_1,Random Forest,4,68,18,147,26,121,38,15,23,0.6052631578947368,0.5,0.26666666666666666,0.34782608695652173,0.5463768115942029,19,4,11,4
鮮紅,primary,tip_middle_root_1_3_1,SVM,5,68,18,146,27,119,37,15,22,0.5945945945945946,0.5,0.4,0.4444444444444444,0.5636363636363637,16,6,9,6
鮮紅,primary,tip_middle_root_1_3_1,Random Forest,5,68,18,146,27,119,37,15,22,0.6486486486486487,0.625,0.3333333333333333,0.43478260869565216,0.5984848484848485,19,3,10,5
暗紅,exploratory,tip_middle_root_1_2_2,SVM,1,79,19,121,9,112,46,18,28,0.5869565217391305,0.3333333333333333,0.05555555555555555,0.09523809523809523,0.4920634920634921,26,2,17,1
暗紅,exploratory,tip_middle_root_1_2_2,Random Forest,1,79,19,121,9,112,46,18,28,0.5869565217391305,0.0,0.0,0.0,0.48214285714285715,27,1,18,0
暗紅,exploratory,tip_middle_root_1_2_2,SVM,2,77,21,125,5,120,52,16,36,0.7307692307692307,0.6666666666666666,0.25,0.36363636363636365,0.5972222222222222,34,2,12,4
暗紅,exploratory,tip_middle_root_1_2_2,Random Forest,2,77,21,125,5,120,52,16,36,0.6346153846153846,0.0,0.0,0.0,0.4583333333333333,33,3,16,0
暗紅,exploratory,tip_middle_root_1_2_2,SVM,3,79,19,122,9,113,47,19,28,0.5106382978723404,0.0,0.0,0.0,0.42857142857142855,24,4,19,0
暗紅,exploratory,tip_middle_root_1_2_2,Random Forest,3,79,19,122,9,113,47,19,28,0.5957446808510638,0.5,0.05263157894736842,0.09523809523809523,0.5084586466165414,27,1,18,1
暗紅,exploratory,tip_middle_root_1_2_2,SVM,4,77,21,120,7,113,45,17,28,0.6888888888888889,1.0,0.17647058823529413,0.3,0.5882352941176471,28,0,14,3
暗紅,exploratory,tip_middle_root_1_2_2,Random Forest,4,77,21,120,7,113,45,17,28,0.6222222222222222,0.0,0.0,0.0,0.5,28,0,17,0
暗紅,exploratory,tip_middle_root_1_2_2,SVM,5,80,18,124,6,118,51,16,35,0.6666666666666666,0.42857142857142855,0.1875,0.2608695652173913,0.5366071428571428,31,4,13,3
暗紅,exploratory,tip_middle_root_1_2_2,Random Forest,5,80,18,124,6,118,51,16,35,0.6862745098039216,0.0,0.0,0.0,0.5,35,0,16,0
暗紅,exploratory,tip_middle_root_1_3_1,SVM,1,79,19,121,9,112,46,18,28,0.5652173913043478,0.0,0.0,0.0,0.4642857142857143,26,2,18,0
暗紅,exploratory,tip_middle_root_1_3_1,Random Forest,1,79,19,121,9,112,46,18,28,0.5434782608695652,0.0,0.0,0.0,0.44642857142857145,25,3,18,0
暗紅,exploratory,tip_middle_root_1_3_1,SVM,2,77,21,125,5,120,52,16,36,0.7115384615384616,0.5714285714285714,0.25,0.34782608695652173,0.5833333333333333,33,3,12,4
暗紅,exploratory,tip_middle_root_1_3_1,Random Forest,2,77,21,125,5,120,52,16,36,0.6346153846153846,0.2,0.0625,0.09523809523809523,0.4756944444444444,32,4,15,1
暗紅,exploratory,tip_middle_root_1_3_1,SVM,3,79,19,122,9,113,47,19,28,0.5957446808510638,0.5,0.05263157894736842,0.09523809523809523,0.5084586466165414,27,1,18,1
暗紅,exploratory,tip_middle_root_1_3_1,Random Forest,3,79,19,122,9,113,47,19,28,0.5531914893617021,0.25,0.05263157894736842,0.08695652173913043,0.4727443609022557,25,3,18,1
暗紅,exploratory,tip_middle_root_1_3_1,SVM,4,77,21,120,7,113,45,17,28,0.6222222222222222,0.0,0.0,0.0,0.5,28,0,17,0
暗紅,exploratory,tip_middle_root_1_3_1,Random Forest,4,77,21,120,7,113,45,17,28,0.6888888888888889,1.0,0.17647058823529413,0.3,0.5882352941176471,28,0,14,3
暗紅,exploratory,tip_middle_root_1_3_1,SVM,5,80,18,124,6,118,51,16,35,0.7254901960784313,1.0,0.125,0.2222222222222222,0.5625,35,0,14,2
暗紅,exploratory,tip_middle_root_1_3_1,Random Forest,5,80,18,124,6,118,51,16,35,0.6666666666666666,0.0,0.0,0.0,0.4857142857142857,34,1,16,0
青紫,exploratory,tip_middle_root_1_2_2,SVM,1,79,21,171,6,165,27,7,20,0.7407407407407407,0.5,0.2857142857142857,0.36363636363636365,0.5928571428571429,18,2,5,2
青紫,exploratory,tip_middle_root_1_2_2,Random Forest,1,79,21,171,6,165,27,7,20,0.7037037037037037,0.3333333333333333,0.14285714285714285,0.2,0.5214285714285715,18,2,6,1
青紫,exploratory,tip_middle_root_1_2_2,SVM,2,81,19,179,5,174,40,7,33,0.725,0.0,0.0,0.0,0.4393939393939394,29,4,7,0
青紫,exploratory,tip_middle_root_1_2_2,Random Forest,2,81,19,179,5,174,40,7,33,0.775,0.0,0.0,0.0,0.4696969696969697,31,2,7,0
青紫,exploratory,tip_middle_root_1_2_2,SVM,3,80,20,179,5,174,31,7,24,0.7741935483870968,0.5,0.14285714285714285,0.2222222222222222,0.5505952380952381,23,1,6,1
青紫,exploratory,tip_middle_root_1_2_2,Random Forest,3,80,20,179,5,174,31,7,24,0.7741935483870968,0.0,0.0,0.0,0.5,24,0,7,0
青紫,exploratory,tip_middle_root_1_2_2,SVM,4,80,20,184,8,176,38,9,29,0.5789473684210527,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4176245210727969,21,8,8,1
青紫,exploratory,tip_middle_root_1_2_2,Random Forest,4,80,20,184,8,176,38,9,29,0.7105263157894737,0.0,0.0,0.0,0.46551724137931033,27,2,9,0
青紫,exploratory,tip_middle_root_1_2_2,SVM,5,80,20,183,8,175,38,10,28,0.7631578947368421,0.5333333333333333,0.8,0.64,0.775,21,7,2,8
青紫,exploratory,tip_middle_root_1_2_2,Random Forest,5,80,20,183,8,175,38,10,28,0.8157894736842105,0.6153846153846154,0.8,0.6956521739130435,0.8107142857142857,23,5,2,8
青紫,exploratory,tip_middle_root_1_3_1,SVM,1,79,21,171,6,165,27,7,20,0.7037037037037037,0.3333333333333333,0.14285714285714285,0.2,0.5214285714285715,18,2,6,1
青紫,exploratory,tip_middle_root_1_3_1,Random Forest,1,79,21,171,6,165,27,7,20,0.7407407407407407,0.5,0.14285714285714285,0.2222222222222222,0.5464285714285714,19,1,6,1
青紫,exploratory,tip_middle_root_1_3_1,SVM,2,81,19,179,5,174,40,7,33,0.75,0.2,0.14285714285714285,0.16666666666666666,0.5108225108225108,29,4,6,1
青紫,exploratory,tip_middle_root_1_3_1,Random Forest,2,81,19,179,5,174,40,7,33,0.8,0.0,0.0,0.0,0.48484848484848486,32,1,7,0
青紫,exploratory,tip_middle_root_1_3_1,SVM,3,80,20,179,5,174,31,7,24,0.7741935483870968,0.5,0.14285714285714285,0.2222222222222222,0.5505952380952381,23,1,6,1
青紫,exploratory,tip_middle_root_1_3_1,Random Forest,3,80,20,179,5,174,31,7,24,0.7741935483870968,0.0,0.0,0.0,0.5,24,0,7,0
青紫,exploratory,tip_middle_root_1_3_1,SVM,4,80,20,184,8,176,38,9,29,0.5526315789473685,0.0,0.0,0.0,0.3620689655172414,21,8,9,0
青紫,exploratory,tip_middle_root_1_3_1,Random Forest,4,80,20,184,8,176,38,9,29,0.7105263157894737,0.25,0.1111111111111111,0.15384615384615385,0.5038314176245211,26,3,8,1
青紫,exploratory,tip_middle_root_1_3_1,SVM,5,80,20,183,8,175,38,10,28,0.7368421052631579,0.5,0.8,0.6153846153846154,0.7571428571428571,20,8,2,8
青紫,exploratory,tip_middle_root_1_3_1,Random Forest,5,80,20,183,8,175,38,10,28,0.8947368421052632,0.8,0.8,0.8,0.8642857142857143,26,2,2,8
