segmentation_method,model,region,color,n_samples,n_patients,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,Random Forest,舌右邊,青紫,37,37,0.8648648648648649,0.0,0.0,0.0,0.48484848484848486,32,1,4,0
tip_middle_root_1_2_2,Random Forest,舌根,淡紅,38,38,0.6842105263157895,0.5,0.5833333333333334,0.5384615384615384,0.657051282051282,19,7,5,7
tip_middle_root_1_2_2,Random Forest,舌根,鮮紅,37,37,0.8918918918918919,0.5,0.5,0.5,0.7196969696969697,31,2,2,2
tip_middle_root_1_2_2,Random Forest,舌根,暗紅,41,41,0.4878048780487805,0.16666666666666666,0.15384615384615385,0.16,0.3983516483516484,18,10,11,2
tip_middle_root_1_2_2,Random Forest,舌根,青紫,52,52,0.9807692307692307,0.0,0.0,0.0,0.5,51,0,1,0
tip_middle_root_1_2_2,CNN,舌尖,淡紅,40,40,0.7,0.75,0.21428571428571427,0.3333333333333333,0.5879120879120879,25,1,11,3
tip_middle_root_1_2_2,CNN,舌尖,鮮紅,42,42,0.42857142857142855,0.3684210526315789,1.0,0.5384615384615384,0.5714285714285714,4,24,0,14
tip_middle_root_1_2_2,CNN,舌尖,暗紅,43,43,0.7209302325581395,0.1111111111111111,0.2,0.14285714285714285,0.49473684210526314,30,8,4,1
tip_middle_root_1_2_2,CNN,舌尖,青紫,43,43,0.8372093023255814,0.0,0.0,0.0,0.4864864864864865,36,1,6,0
tip_middle_root_1_2_2,CNN,舌中,淡紅,36,36,0.5,0.3333333333333333,0.38461538461538464,0.35714285714285715,0.47491638795986624,13,10,8,5
tip_middle_root_1_2_2,CNN,舌中,鮮紅,40,40,0.5,0.19047619047619047,0.5714285714285714,0.2857142857142857,0.5281385281385281,16,17,3,4
tip_middle_root_1_2_2,CNN,舌中,暗紅,46,46,0.34782608695652173,0.21875,0.5833333333333334,0.3181818181818182,0.4240196078431373,9,25,5,7
tip_middle_root_1_2_2,CNN,舌中,青紫,44,44,0.6136363636363636,0.15789473684210525,0.75,0.2608695652173913,0.675,24,16,1,3
tip_middle_root_1_2_2,CNN,舌左邊,淡紅,46,46,0.6086956521739131,0.3333333333333333,0.125,0.18181818181818182,0.49583333333333335,26,4,14,2
tip_middle_root_1_2_2,CNN,舌左邊,鮮紅,45,45,0.4,0.34210526315789475,0.8666666666666667,0.49056603773584906,0.5166666666666667,5,25,2,13
tip_middle_root_1_2_2,CNN,舌左邊,暗紅,46,46,0.41304347826086957,0.21428571428571427,0.5454545454545454,0.3076923076923077,0.4584415584415584,13,22,5,6
tip_middle_root_1_2_2,CNN,舌左邊,青紫,38,38,0.5,0.05555555555555555,0.3333333333333333,0.09523809523809523,0.42380952380952375,18,17,2,1
tip_middle_root_1_2_2,CNN,舌右邊,淡紅,44,44,0.5909090909090909,0.2857142857142857,0.13333333333333333,0.18181818181818182,0.4804597701149425,24,5,13,2
tip_middle_root_1_2_2,CNN,舌右邊,鮮紅,45,45,0.4222222222222222,0.358974358974359,0.9333333333333333,0.5185185185185185,0.55,5,25,1,14
tip_middle_root_1_2_2,CNN,舌右邊,暗紅,45,45,0.4444444444444444,0.25,0.6363636363636364,0.358974358974359,0.5093582887700534,13,21,4,7
tip_middle_root_1_2_2,CNN,舌右邊,青紫,37,37,0.4594594594594595,0.05555555555555555,0.25,0.09090909090909091,0.36742424242424243,16,17,3,1
tip_middle_root_1_2_2,CNN,舌根,淡紅,38,38,0.631578947368421,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5737179487179487,19,7,7,5
tip_middle_root_1_2_2,CNN,舌根,鮮紅,37,37,0.7297297297297297,0.25,0.75,0.375,0.7386363636363636,24,9,1,3
tip_middle_root_1_2_2,CNN,舌根,暗紅,41,41,0.5365853658536586,0.3125,0.38461538461538464,0.3448275862068966,0.4958791208791209,17,11,8,5
tip_middle_root_1_2_2,CNN,舌根,青紫,52,52,0.9615384615384616,0.0,0.0,0.0,0.49019607843137253,50,1,1,0
tip_middle_root_1_3_1,SVM,舌尖,淡紅,40,40,0.725,0.5789473684210527,0.7857142857142857,0.6666666666666666,0.739010989010989,18,8,3,11
tip_middle_root_1_3_1,SVM,舌尖,鮮紅,42,42,0.7619047619047619,0.5909090909090909,0.9285714285714286,0.7222222222222222,0.8035714285714286,19,9,1,13
tip_middle_root_1_3_1,SVM,舌尖,暗紅,43,43,0.7441860465116279,0.2,0.4,0.26666666666666666,0.5947368421052632,30,8,3,2
tip_middle_root_1_3_1,SVM,舌尖,青紫,43,43,0.7209302325581395,0.25,0.5,0.3333333333333333,0.6283783783783784,28,9,3,3
tip_middle_root_1_3_1,SVM,舌中,淡紅,36,36,0.6944444444444444,0.5454545454545454,0.9230769230769231,0.6857142857142857,0.7441471571906355,13,10,1,12
tip_middle_root_1_3_1,SVM,舌中,鮮紅,40,40,0.9,1.0,0.42857142857142855,0.6,0.7142857142857143,33,0,4,3
tip_middle_root_1_3_1,SVM,舌中,暗紅,46,46,0.6739130434782609,0.3333333333333333,0.25,0.2857142857142857,0.5367647058823529,28,6,9,3
tip_middle_root_1_3_1,SVM,舌中,青紫,44,44,0.7954545454545454,0.2222222222222222,0.5,0.3076923076923077,0.6625,33,7,2,2
tip_middle_root_1_3_1,SVM,舌左邊,淡紅,46,46,0.6086956521739131,0.4583333333333333,0.6875,0.55,0.6270833333333333,17,13,5,11
tip_middle_root_1_3_1,SVM,舌左邊,鮮紅,45,45,0.7777777777777778,0.6470588235294118,0.7333333333333333,0.6875,0.7666666666666666,24,6,4,11
