region,n_model_combinations,mean_macro_f1,std_macro_f1,mean_micro_f1,std_micro_f1,macro_rank_1_count,micro_rank_1_count,mean_macro_rank,mean_micro_rank
舌中,6,0.4101463549078123,0.07297674379019516,0.43958722220934127,0.09280619995518216,4,1,1.6666666666666667,3.3333333333333335
舌右邊,6,0.38430947158066253,0.068727697133186,0.4713218983650056,0.07600384825943986,0,2,2.3333333333333335,2.0
舌尖,6,0.35944321046211797,0.12214886200812351,0.46350229762884915,0.10380891319623349,1,3,3.3333333333333335,2.3333333333333335
舌左邊,6,0.35298324059391867,0.07891353273401323,0.4441702995400209,0.07446119896731324,1,0,3.3333333333333335,3.1666666666666665
舌根,6,0.23997170065417192,0.0539270698818145,0.34759027016420485,0.03661163915486201,0,0,4.333333333333333,4.166666666666667
