model,n_colors,macro_accuracy_1_2_2,macro_accuracy_1_3_1,macro_delta_accuracy,macro_f1_1_2_2,macro_f1_1_3_1,macro_delta_f1,macro_balanced_accuracy_1_2_2,macro_balanced_accuracy_1_3_1,macro_delta_balanced_accuracy,f1_wins_1_2_2,f1_wins_1_3_1,f1_ties
SVM,5,0.7374562007315266,0.7467134723708291,0.009257271639302456,0.3564406779661017,0.3682127712381038,0.011772093272002149,0.6004881988255997,0.6105670269016061,0.010078828076006486,2,2,1
Random Forest,5,0.8097131382217985,0.8069270503662576,-0.0027860878555408643,0.3281094060097306,0.3174922679028637,-0.010617138106866913,0.6009336862807755,0.5944005155252337,-0.006533170755541873,3,1,1
CNN,5,0.6090117044183414,0.5792296101624748,-0.029782094255866653,0.24392737329216457,0.2490658686520804,0.00513849535991584,0.5042502972392715,0.5083017739448424,0.004051476705570933,2,3,0
