segmentation_method,model,cnn_architecture,color,fold,train_samples,test_samples,train_patients,test_patients,accuracy,precision,recall,f1,balanced_accuracy
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,1,175,46,44,10,0.43478260869565216,0.2413793103448276,0.6363636363636364,0.35,0.5038961038961038
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,2,178,43,43,11,0.5116279069767442,0.28,0.7,0.4,0.5772727272727273
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,3,176,45,43,11,0.37777777777777777,0.23529411764705882,0.8,0.36363636363636365,0.5285714285714286
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,4,177,44,43,11,0.5454545454545454,0.23529411764705882,0.36363636363636365,0.2857142857142857,0.48484848484848486
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,暗紅,5,178,43,43,11,0.6744186046511628,0.375,0.6,0.46153846153846156,0.6484848484848484
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,1,169,45,43,11,0.6222222222222222,0.0,0.0,0.0,0.3333333333333333
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,2,172,42,43,11,0.6666666666666666,0.14285714285714285,0.5,0.2222222222222222,0.5921052631578947
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,3,171,43,42,12,0.6744186046511628,0.09090909090909091,0.2,0.125,0.46842105263157896
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,4,172,42,44,10,0.7857142857142857,0.2222222222222222,0.5,0.3076923076923077,0.6578947368421053
tip_middle_root_1_2_2,CNN,MobileNetV3-Small,青紫,5,172,42,44,10,0.7380952380952381,0.0,0.0,0.0,0.3875
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,1,169,45,43,11,0.6888888888888889,0.07692307692307693,0.3333333333333333,0.125,0.5238095238095238
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,2,172,42,43,11,0.7380952380952381,0.18181818181818182,0.5,0.26666666666666666,0.631578947368421
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,3,171,43,42,12,0.6046511627906976,0.0,0.0,0.0,0.34210526315789475
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,4,172,42,44,10,0.8809523809523809,0.3333333333333333,0.25,0.2857142857142857,0.5986842105263157
tip_middle_root_1_3_1,CNN,MobileNetV3-Small,青紫,5,172,42,44,10,0.8095238095238095,0.0,0.0,0.0,0.425
