delta_accuracy,delta_f1,delta_balanced_accuracy,model,color,method_a,method_b
0.0,-0.012903225806451646,-0.004224941724941811,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.015151515151515138,0.004815745393634829,0.010359187922956758,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0,-0.016786226685796213,-0.014312617702448294,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.010695187165775444,-0.021375930856194825,-0.01584549150920833,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.00917431192660545,-0.03525063962854169,-0.034715821812596026,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.013824884792626668,-0.0011826988060373855,0.006583567415730407,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.014925373134328401,-0.029631516386483314,-0.022315789473684178,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.033653846153846145,0.039795545819642175,0.03503759398496231,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.042654028436018954,0.059834182399360725,0.04721185737976774,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0,-0.02416666666666667,-0.015998400159983994,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.009302325581395321,-0.026282051282051244,-0.02134341068767298,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.013513513513513598,0.0146520146520146,0.013721804511278135,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.03141361256544495,0.04580152671755722,0.0364503816793893,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.032863849765258246,0.020889639639639634,0.02464788732394363,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.01904761904761909,0.0012055455093429313,0.003083564600678379,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.0,-0.01450222106088317,-0.013605442176870763,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.009569377990430561,-0.0302110944336218,-0.026126408010012536,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.015075376884422176,-0.03317972350230414,-0.025781855776686458,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
-0.013953488372092981,-0.05462001570543584,-0.04051282051282046,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
0.019512195121951237,0.016565088295046104,0.016129032258064502,SVM,淡紅,tip_middle_root_1_2_2,tip_middle_root_1_3_1
