region,n_items,unanimous_n,unanimous_rate,three_one_n,three_one_rate,two_two_n,two_two_rate,fleiss_kappa,best_segmentation_method,best_model,n_evaluable_colors,best_macro_f1,best_macro_balanced_accuracy
舌尖,324,175,0.5401234567901234,96,0.2962962962962963,53,0.16358024691358025,0.27371521566623186,tip_middle_root_1_3_1,SVM,4,0.4972222222222222,0.6914244095165148
舌中,324,176,0.5432098765432098,94,0.29012345679012347,54,0.16666666666666666,0.2625762665386989,tip_middle_root_1_3_1,SVM,5,0.37582417582417577,0.6050089032268426
舌左邊,324,178,0.5493827160493827,100,0.30864197530864196,46,0.1419753086419753,0.312897628687102,tip_middle_root_1_2_2,SVM,5,0.3672603866721514,0.6111595053882288
舌右邊,324,180,0.5555555555555556,93,0.28703703703703703,51,0.1574074074074074,0.31584383391861204,tip_middle_root_1_3_1,SVM,5,0.3713488557478327,0.6072982816817782
舌根,324,188,0.5802469135802469,84,0.25925925925925924,52,0.16049382716049382,0.2622512622512621,tip_middle_root_1_2_2,Random Forest,5,0.23969230769230765,0.5529791636934493
