model,accuracy,precision,recall,f1,balanced_accuracy
Random Forest,0.7965794230521285,0.3107642759816673,0.2957486957486958,0.30212906315737814,0.5825451633635986
SVM,0.7475436087498817,0.32607259734188204,0.4334365634365634,0.36578845339735394,0.6086258625430874
