color,positive,negative,uncertain,usable,positive_rate,uncertain_rate,data_status,full_n_items,full_unanimous_rate,full_three_one_rate,full_two_two_rate,full_fleiss_kappa,subset_n_items,subset_unanimous_n,subset_unanimous_rate,subset_three_one_n,subset_three_one_rate,subset_two_two_n,subset_two_two_rate,subset_fleiss_kappa,best_segmentation_method,best_model,best_accuracy,best_precision,best_recall,best_f1,best_balanced_accuracy
淡紅,70,134,66,204,0.3431372549019608,0.24444444444444444,evaluable,500,0.45,0.346,0.204,0.2858059125562946,270,97,0.3592592592592593,107,0.3962962962962963,66,0.24444444444444444,0.24470378114341645,tip_middle_root_1_2_2,Random Forest,0.7058823529411765,0.5657894736842105,0.6142857142857143,0.589041095890411,0.6840085287846482
淡白,5,241,24,246,0.02032520325203252,0.08888888888888889,extremely_sparse,500,0.814,0.13,0.056,0.3008083975872191,270,208,0.7703703703703704,38,0.14074074074074075,24,0.08888888888888889,0.1996951219512193,tip_middle_root_1_3_1,CNN,0.508130081300813,0.0084745762711864,0.2,0.016260162601626,0.3572614107883817
鮮紅,55,154,61,209,0.2631578947368421,0.22592592592592592,evaluable,500,0.356,0.34,0.304,0.2032644777106469,270,110,0.4074074074074074,99,0.36666666666666664,61,0.22592592592592592,0.241089346181872,tip_middle_root_1_3_1,SVM,0.8181818181818182,0.6349206349206349,0.7272727272727273,0.6779661016949152,0.788961038961039
暗紅,52,169,49,221,0.23529411764705882,0.1814814814814815,evaluable,500,0.306,0.482,0.212,0.1360469894024523,270,86,0.31851851851851853,135,0.5,49,0.1814814814814815,0.15444409271569753,tip_middle_root_1_3_1,CNN,0.5067873303167421,0.2644628099173554,0.6153846153846154,0.3699421965317919,0.5443786982248521
青紫,18,196,56,214,0.08411214953271028,0.2074074074074074,sparse,500,0.448,0.348,0.204,0.1620489255304769,270,127,0.4703703703703704,87,0.32222222222222224,56,0.2074074074074074,0.12608676066489538,tip_middle_root_1_2_2,SVM,0.794392523364486,0.1904761904761904,0.4444444444444444,0.2666666666666666,0.6354875283446713
灰黑,0,270,0,270,0.0,0.0,not_evaluable_no_positive,500,0.978,0.022,0.0,-0.0055304172951351,270,269,0.9962962962962963,1,0.003703703703703704,0,0.0,-0.0009267840593402628,,,,,,,
