segmentation_method,model,accuracy,precision,recall,f1,balanced_accuracy,rank_by_f1
tip_middle_root_1_3_1,SVM,0.7467134723708291,0.32398321485278,0.4417060717060717,0.3682127712381038,0.6105670269016061,1
tip_middle_root_1_2_2,SVM,0.7374562007315266,0.3102453102453102,0.4324553224553225,0.3564406779661017,0.6004881988255997,2
tip_middle_root_1_2_2,Random Forest,0.8097131382217985,0.3377622222848198,0.3251415251415251,0.3281094060097306,0.6009336862807755,3
tip_middle_root_1_3_1,Random Forest,0.8069270503662576,0.3306386730474221,0.3086358086358086,0.3174922679028636,0.5944005155252337,4
tip_middle_root_1_3_1,CNN,0.5792296101624748,0.2055878463776124,0.4119369519369519,0.2490658686520804,0.5083017739448424,5
tip_middle_root_1_2_2,CNN,0.6090117044183414,0.20569915090175922,0.37867243867243866,0.24392737329216457,0.5042502972392715,6
