segmentation_method,model,color,fold,train_samples,test_samples,train_patients,test_patients,accuracy,precision,recall,f1,balanced_accuracy
tip_middle_root_1_2_2,SVM,鮮紅,2,169,40,41,9,0.8,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.7492163009404389
tip_middle_root_1_2_2,SVM,鮮紅,3,167,42,40,10,0.7380952380952381,0.47368421052631576,0.9,0.6206896551724138,0.79375
tip_middle_root_1_2_2,SVM,鮮紅,4,169,40,40,10,0.75,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6865203761755485
tip_middle_root_1_2_2,SVM,鮮紅,5,162,47,39,11,0.7872340425531915,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7476190476190476
tip_middle_root_1_2_2,Random Forest,鮮紅,1,169,40,40,10,0.95,1.0,0.8181818181818182,0.9,0.9090909090909092
tip_middle_root_1_2_2,Random Forest,鮮紅,2,169,40,41,9,0.825,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.7946708463949843
tip_middle_root_1_2_2,Random Forest,鮮紅,3,167,42,40,10,0.7857142857142857,0.5384615384615384,0.7,0.6086956521739131,0.75625
tip_middle_root_1_2_2,Random Forest,鮮紅,4,169,40,40,10,0.75,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6865203761755485
tip_middle_root_1_2_2,Random Forest,鮮紅,5,162,47,39,11,0.8085106382978723,0.6153846153846154,0.6666666666666666,0.64,0.7619047619047619
tip_middle_root_1_3_1,SVM,鮮紅,1,169,40,40,10,0.95,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9373040752351097
tip_middle_root_1_3_1,SVM,鮮紅,2,169,40,41,9,0.825,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.7946708463949843
tip_middle_root_1_3_1,SVM,鮮紅,3,167,42,40,10,0.7857142857142857,0.5333333333333333,0.8,0.64,0.790625
tip_middle_root_1_3_1,SVM,鮮紅,4,169,40,40,10,0.775,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.731974921630094
tip_middle_root_1_3_1,SVM,鮮紅,5,162,47,39,11,0.7659574468085106,0.5384615384615384,0.5833333333333334,0.56,0.705952380952381
tip_middle_root_1_3_1,Random Forest,鮮紅,1,169,40,40,10,0.925,1.0,0.7272727272727273,0.8421052631578947,0.8636363636363636
tip_middle_root_1_3_1,Random Forest,鮮紅,2,169,40,41,9,0.825,0.6666666666666666,0.7272727272727273,0.6956521739130435,0.7946708463949843
tip_middle_root_1_3_1,Random Forest,鮮紅,3,167,42,40,10,0.7380952380952381,0.4666666666666667,0.7,0.56,0.725
tip_middle_root_1_3_1,Random Forest,鮮紅,4,169,40,40,10,0.775,0.6,0.5454545454545454,0.5714285714285714,0.7037617554858934
tip_middle_root_1_3_1,Random Forest,鮮紅,5,162,47,39,11,0.8085106382978723,0.6153846153846154,0.6666666666666666,0.64,0.7619047619047619
tip_middle_root_1_2_2,SVM,暗紅,1,175,46,44,10,0.5217391304347826,0.07692307692307693,0.09090909090909091,0.08333333333333333,0.37402597402597404
tip_middle_root_1_2_2,SVM,暗紅,2,178,43,43,11,0.6046511627906976,0.23076923076923078,0.3,0.2608695652173913,0.49848484848484853
tip_middle_root_1_2_2,SVM,暗紅,3,176,45,43,11,0.6888888888888889,0.3,0.3,0.3,0.55
tip_middle_root_1_2_2,SVM,暗紅,4,177,44,43,11,0.5,0.23809523809523808,0.45454545454545453,0.3125,0.48484848484848486
tip_middle_root_1_2_2,SVM,暗紅,5,178,43,43,11,0.7906976744186046,0.5555555555555556,0.5,0.5263157894736842,0.6893939393939394
tip_middle_root_1_2_2,Random Forest,暗紅,1,175,46,44,10,0.5,0.0,0.0,0.0,0.32857142857142857
tip_middle_root_1_2_2,Random Forest,暗紅,2,178,43,43,11,0.7441860465116279,0.3333333333333333,0.1,0.15384615384615385,0.5196969696969698
tip_middle_root_1_2_2,Random Forest,暗紅,3,176,45,43,11,0.7111111111111111,0.2,0.1,0.13333333333333333,0.4928571428571428
tip_middle_root_1_2_2,Random Forest,暗紅,4,177,44,43,11,0.5681818181818182,0.21428571428571427,0.2727272727272727,0.24,0.46969696969696967
tip_middle_root_1_2_2,Random Forest,暗紅,5,178,43,43,11,0.7441860465116279,0.42857142857142855,0.3,0.35294117647058826,0.5893939393939394
tip_middle_root_1_3_1,SVM,暗紅,1,175,46,44,10,0.5434782608695652,0.08333333333333333,0.09090909090909091,0.08695652173913043,0.38831168831168833
tip_middle_root_1_3_1,SVM,暗紅,2,178,43,43,11,0.6511627906976745,0.2727272727272727,0.3,0.2857142857142857,0.5287878787878788
tip_middle_root_1_3_1,SVM,暗紅,3,176,45,43,11,0.6666666666666666,0.2727272727272727,0.3,0.2857142857142857,0.5357142857142857
tip_middle_root_1_3_1,SVM,暗紅,4,177,44,43,11,0.5227272727272727,0.25,0.45454545454545453,0.3225806451612903,0.5
tip_middle_root_1_3_1,SVM,暗紅,5,178,43,43,11,0.8372093023255814,0.6363636363636364,0.7,0.6666666666666666,0.7893939393939393
tip_middle_root_1_3_1,Random Forest,暗紅,1,175,46,44,10,0.6086956521739131,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.4623376623376624
tip_middle_root_1_3_1,Random Forest,暗紅,2,178,43,43,11,0.6976744186046512,0.2,0.1,0.13333333333333333,0.4893939393939394
tip_middle_root_1_3_1,Random Forest,暗紅,3,176,45,43,11,0.6444444444444445,0.2,0.2,0.2,0.48571428571428577
tip_middle_root_1_3_1,Random Forest,暗紅,4,177,44,43,11,0.5454545454545454,0.15384615384615385,0.18181818181818182,0.16666666666666666,0.4242424242424242
tip_middle_root_1_3_1,Random Forest,暗紅,5,178,43,43,11,0.813953488372093,0.625,0.5,0.5555555555555556,0.7045454545454546
tip_middle_root_1_2_2,SVM,青紫,1,169,45,43,11,0.7555555555555555,0.1,0.3333333333333333,0.15384615384615385,0.5595238095238095
tip_middle_root_1_2_2,SVM,青紫,2,172,42,43,11,0.8333333333333334,0.3333333333333333,0.75,0.46153846153846156,0.7960526315789473
tip_middle_root_1_2_2,SVM,青紫,3,171,43,42,12,0.6976744186046512,0.0,0.0,0.0,0.39473684210526316
tip_middle_root_1_2_2,SVM,青紫,4,172,42,44,10,0.8571428571428571,0.375,0.75,0.5,0.8092105263157895
tip_middle_root_1_2_2,SVM,青紫,5,172,42,44,10,0.8333333333333334,0.14285714285714285,0.5,0.2222222222222222,0.675
tip_middle_root_1_2_2,Random Forest,青紫,1,169,45,43,11,0.8888888888888888,0.0,0.0,0.0,0.47619047619047616
tip_middle_root_1_2_2,Random Forest,青紫,2,172,42,43,11,0.9285714285714286,1.0,0.25,0.4,0.625
tip_middle_root_1_2_2,Random Forest,青紫,3,171,43,42,12,0.8837209302325582,0.0,0.0,0.0,0.5
tip_middle_root_1_2_2,Random Forest,青紫,4,172,42,44,10,0.8571428571428571,0.25,0.25,0.25,0.5855263157894737
tip_middle_root_1_2_2,Random Forest,青紫,5,172,42,44,10,0.9047619047619048,0.25,0.5,0.3333333333333333,0.7125
tip_middle_root_1_3_1,SVM,青紫,1,169,45,43,11,0.7555555555555555,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.7142857142857142
tip_middle_root_1_3_1,SVM,青紫,2,172,42,43,11,0.8095238095238095,0.25,0.5,0.3333333333333333,0.6710526315789473
tip_middle_root_1_3_1,SVM,青紫,3,171,43,42,12,0.6744186046511628,0.0,0.0,0.0,0.3815789473684211
tip_middle_root_1_3_1,SVM,青紫,4,172,42,44,10,0.8809523809523809,0.42857142857142855,0.75,0.5454545454545454,0.8223684210526316
tip_middle_root_1_3_1,SVM,青紫,5,172,42,44,10,0.8095238095238095,0.125,0.5,0.2,0.6625
tip_middle_root_1_3_1,Random Forest,青紫,1,169,45,43,11,0.8888888888888888,0.0,0.0,0.0,0.47619047619047616
tip_middle_root_1_3_1,Random Forest,青紫,2,172,42,43,11,0.9047619047619048,0.0,0.0,0.0,0.5
tip_middle_root_1_3_1,Random Forest,青紫,3,171,43,42,12,0.8837209302325582,0.0,0.0,0.0,0.5
tip_middle_root_1_3_1,Random Forest,青紫,4,172,42,44,10,0.8809523809523809,0.3333333333333333,0.25,0.2857142857142857,0.5986842105263157
tip_middle_root_1_3_1,Random Forest,青紫,5,172,42,44,10,0.8571428571428571,0.16666666666666666,0.5,0.25,0.6875
