region,n_model_combinations,mean_macro_f1,std_macro_f1,mean_micro_f1,std_micro_f1,macro_rank_1_count,micro_rank_1_count,mean_macro_rank,mean_micro_rank,common_colors,n_items,unanimous_rate,three_one_rate,two_two_rate,fleiss_kappa
舌中,6,0.4101463549078123,0.07297674379019516,0.43958722220934127,0.09280619995518216,4,1,1.6666666666666667,3.3333333333333335,"淡紅,鮮紅,暗紅,青紫",216,0.375,0.39351851851851855,0.23148148148148148,0.18458273958793536
舌右邊,6,0.38430947158066253,0.068727697133186,0.4713218983650056,0.07600384825943986,0,2,2.3333333333333335,2.0,"淡紅,鮮紅,暗紅,青紫",216,0.39814814814814814,0.39351851851851855,0.20833333333333334,0.2434736924739884
舌尖,6,0.35944321046211797,0.12214886200812351,0.46350229762884915,0.10380891319623349,1,3,3.3333333333333335,2.3333333333333335,"淡紅,鮮紅,暗紅,青紫",216,0.35648148148148145,0.4212962962962963,0.2222222222222222,0.1855154084282613
舌左邊,6,0.35298324059391867,0.07891353273401323,0.4441702995400209,0.07446119896731324,1,0,3.3333333333333335,3.1666666666666665,"淡紅,鮮紅,暗紅,青紫",216,0.38425925925925924,0.42592592592592593,0.18981481481481483,0.23343092893265885
舌根,6,0.23997170065417192,0.0539270698818145,0.34759027016420485,0.03661163915486201,0,0,4.333333333333333,4.166666666666667,"淡紅,鮮紅,暗紅,青紫",216,0.4305555555555556,0.3472222222222222,0.2222222222222222,0.2001225498358232
