color,subset_n_items,subset_unanimous_n,subset_unanimous_rate,subset_three_one_n,subset_three_one_rate,subset_two_two_n,subset_two_two_rate,subset_fleiss_kappa
淡紅,270,97,0.3592592592592593,107,0.3962962962962963,66,0.24444444444444444,0.24470378114341645
淡白,270,208,0.7703703703703704,38,0.14074074074074075,24,0.08888888888888889,0.1996951219512193
鮮紅,270,110,0.4074074074074074,99,0.36666666666666664,61,0.22592592592592592,0.241089346181872
暗紅,270,86,0.31851851851851853,135,0.5,49,0.1814814814814815,0.15444409271569753
青紫,270,127,0.4703703703703704,87,0.32222222222222224,56,0.2074074074074074,0.12608676066489538
灰黑,270,269,0.9962962962962963,1,0.003703703703703704,0,0.0,-0.0009267840593402628
