segmentation_method,model,color,region,n_patients,n_samples,positive,negative,positive_rate,evaluable_binary,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,SVM,淡紅,舌尖,40,40,14,26,0.35,True,0.65,0.5,0.7142857142857143,0.5882352941176471,0.6648351648351649,16,10,4,10
tip_middle_root_1_2_2,SVM,淡紅,舌中,36,36,13,23,0.3611111111111111,True,0.6666666666666666,0.5238095238095238,0.8461538461538461,0.6470588235294118,0.705685618729097,13,10,2,11
tip_middle_root_1_2_2,SVM,淡紅,舌左邊,46,46,16,30,0.34782608695652173,True,0.6086956521739131,0.4583333333333333,0.6875,0.55,0.6270833333333333,17,13,5,11
tip_middle_root_1_2_2,SVM,淡紅,舌右邊,44,44,15,29,0.3409090909090909,True,0.6818181818181818,0.5263157894736842,0.6666666666666666,0.5882352941176471,0.6781609195402298,20,9,5,10
tip_middle_root_1_2_2,SVM,淡紅,舌根,38,38,12,26,0.3157894736842105,True,0.6842105263157895,0.5,0.5833333333333334,0.5384615384615384,0.657051282051282,19,7,5,7
tip_middle_root_1_2_2,SVM,淡白,舌尖,49,49,0,49,0.0,False,0.8163265306122449,0.0,0.0,0.0,,40,9,0,0
tip_middle_root_1_2_2,SVM,淡白,舌中,50,50,1,49,0.02,True,0.7,0.0,0.0,0.0,0.35714285714285715,35,14,1,0
tip_middle_root_1_2_2,SVM,淡白,舌左邊,49,49,2,47,0.04081632653061224,True,0.7755102040816326,0.0,0.0,0.0,0.40425531914893614,38,9,2,0
tip_middle_root_1_2_2,SVM,淡白,舌右邊,48,48,1,47,0.020833333333333332,True,0.8333333333333334,0.0,0.0,0.0,0.425531914893617,40,7,1,0
tip_middle_root_1_2_2,SVM,淡白,舌根,50,50,1,49,0.02,True,0.96,0.0,0.0,0.0,0.4897959183673469,48,1,1,0
tip_middle_root_1_2_2,SVM,鮮紅,舌尖,42,42,14,28,0.3333333333333333,True,0.7619047619047619,0.6111111111111112,0.7857142857142857,0.6875,0.7678571428571428,21,7,3,11
tip_middle_root_1_2_2,SVM,鮮紅,舌中,40,40,7,33,0.175,True,0.875,0.75,0.42857142857142855,0.5454545454545454,0.6991341991341992,32,1,4,3
tip_middle_root_1_2_2,SVM,鮮紅,舌左邊,45,45,15,30,0.3333333333333333,True,0.7777777777777778,0.631578947368421,0.8,0.7058823529411765,0.7833333333333334,23,7,3,12
tip_middle_root_1_2_2,SVM,鮮紅,舌右邊,45,45,15,30,0.3333333333333333,True,0.7555555555555555,0.6,0.8,0.6857142857142857,0.7666666666666666,22,8,3,12
tip_middle_root_1_2_2,SVM,鮮紅,舌根,37,37,4,33,0.10810810810810811,True,0.8378378378378378,0.0,0.0,0.0,0.4696969696969697,31,2,4,0
