segmentation_method,model,accuracy,precision,recall,f1,balanced_accuracy
tip_middle_root_1_2_2,Random Forest,0.8097131382217985,0.3377622222848198,0.32514152514152517,0.3281094060097306,0.6009336862807755
tip_middle_root_1_2_2,SVM,0.7374562007315266,0.31024531024531027,0.4324553224553225,0.3564406779661017,0.6004881988255997
tip_middle_root_1_3_1,Random Forest,0.8069270503662576,0.3306386730474221,0.30863580863580864,0.31749226790286367,0.5944005155252337
tip_middle_root_1_3_1,SVM,0.7467134723708291,0.32398321485278003,0.4417060717060717,0.36821277123810386,0.6105670269016061
