segmentation_method,image_id,region,original_image,region_file,pixel_count,tip_ratio,middle_ratio,root_ratio,left_ratio,center_ratio,right_ratio
tip_middle_root_1_3_1,10,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌根/10.png,217187,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,10,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌尖/10.png,108549,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,10,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌左邊/10.png,163154,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,10,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌中/10.png,428972,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,10,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/10.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌右邊/10.png,130946,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,11,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌根/11.png,184719,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,11,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌尖/11.png,85645,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,11,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌左邊/11.png,111627,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,11,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌中/11.png,357845,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,11,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/11.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌右邊/11.png,135100,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,13,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌根/13.png,150693,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,13,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌尖/13.png,145598,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,13,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌左邊/13.png,157938,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,13,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌中/13.png,347964,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,13,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/13.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌右邊/13.png,152731,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,17,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/17.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌根/17.png,130141,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,17,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/17.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌尖/17.png,123238,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,17,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/17.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌左邊/17.png,150574,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,17,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/17.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌中/17.png,326314,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,17,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/17.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌右邊/17.png,136065,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,19,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/19.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌根/19.png,313820,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,19,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/19.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌尖/19.png,333052,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,19,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/19.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌左邊/19.png,378415,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,19,舌中,/Users/yuchiwu/Desktop/tongue_project/images_json/19.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌中/19.png,787101,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,19,舌右邊,/Users/yuchiwu/Desktop/tongue_project/images_json/19.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌右邊/19.png,347319,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,2,舌根,/Users/yuchiwu/Desktop/tongue_project/images_json/2.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌根/2.png,99793,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,2,舌尖,/Users/yuchiwu/Desktop/tongue_project/images_json/2.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌尖/2.png,85333,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
tip_middle_root_1_3_1,2,舌左邊,/Users/yuchiwu/Desktop/tongue_project/images_json/2.jpg,/Users/yuchiwu/Desktop/tongue_project/output/tip_middle_root_1_3_1/regions/舌左邊/2.png,113234,0.2,0.6000000000000001,0.2,0.25,0.5,0.25
